,Peak,Text_Avg
AllOpen,2447.37647339,38.6428592247
AllClose,2304.74902738,33.6037757939
Window50,2412.53681831,39.0793291618
Window100,2330.52092633,36.5058364908
MainDoor50,2449.56037645,36.0957602339
MainDoor100,2355.38437658,37.7437040846
SecondaryDoor50,2404.82843738,38.1680525164
SecondaryDoor100,2369.1622533,37.0587300425
