,Peak,Text_Avg
AllOpen,1740.61142097,38.6428592247
AllClose,1584.65480088,35.7483652022
Window50,1633.33333902,35.6482956651
Window100,1665.64377568,36.5058364908
MainDoor50,1623.1903406,37.0613178634
MainDoor100,1631.45995083,36.0957602339
SecondaryDoor50,1692.61771185,38.1680525164
SecondaryDoor100,1659.96370397,37.0587300425
